State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Guntur,2023-10-19,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-10-20,2023,10,0.2373927722,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-10-22,2023,10,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-04-27,2023,04,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-04-29,2023,04,0.0147463028,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-05-02,2023,05,0.4060970272,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-05-03,2023,05,6.4847535033,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-05-04,2023,05,13.011017464,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-05-07,2023,05,3.4428925249,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-05-09,2023,05,0.003164914,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-05-11,2023,05,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-05-12,2023,05,0.1086072023,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-05-22,2023,05,0.1145526043,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-05-27,2023,05,0.7282657042,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-05-28,2023,05,1.5977637237,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-06-02,2023,06,0.7857547439,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-06-04,2023,06,0.0132388152,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-06-09,2023,06,0.3661721438,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-06-10,2023,06,0.0629299547,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-06-21,2023,06,7.9901431742,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-06-22,2023,06,13.0185745871,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-07,2023,07,1.2798774888,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-08,2023,07,1.9375531388,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-10,2023,07,4.1845626616,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-12,2023,07,4.4414902468,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-19,2023,07,4.8067476459,IMD GRID MODEL
